Deaths,Moves,Wins,Gamma,Time
122,34499,1000,0.51,3.911999225616455
122,34586,1000,0.52,3.899057149887085
122,34543,1000,0.53,3.9093408584594727
122,34702,1000,0.54,3.9285707473754883
122,34498,1000,0.55,3.912637233734131
122,34185,1000,0.56,3.9055535793304443
122,34421,1000,0.57,3.9073824882507324
122,34409,1000,0.58,3.9229345321655273
122,34527,1000,0.59,3.8984122276306152
122,34652,1000,0.6,3.932027578353882
122,34396,1000,0.61,3.9208829402923584
122,34471,1000,0.62,3.888960361480713
122,34828,1000,0.63,3.9318687915802
122,34311,1000,0.64,3.8981292247772217
122,34331,1000,0.65,3.8997554779052734
122,34242,1000,0.66,3.943239212036133
122,34423,1000,0.67,3.9029691219329834
122,33937,1000,0.68,3.9188718795776367
122,34968,1000,0.69,3.93719220161438
122,34505,1000,0.7,3.9299380779266357
122,34400,1000,0.71,3.9456562995910645
122,34670,1000,0.72,3.948230504989624
122,34557,1000,0.73,3.934370994567871
122,34752,1000,0.74,3.9446017742156982
122,34169,1000,0.75,3.945250988006592
122,34238,1000,0.76,3.9498579502105713
122,34487,1000,0.77,3.931816577911377
122,34474,1000,0.78,3.9397764205932617
122,34404,1000,0.79,3.9580259323120117
122,34644,1000,0.8,3.947770357131958
122,34765,1000,0.81,3.9598679542541504
122,34370,1000,0.82,3.980583667755127
122,34292,1000,0.83,3.975522994995117
122,34519,1000,0.84,3.959437370300293
122,33672,1000,0.85,3.943493127822876
122,33942,1000,0.86,3.941970109939575
122,34288,1000,0.87,3.9857516288757324
122,34463,1000,0.88,3.978724241256714
122,34443,1000,0.89,3.950054883956909
122,34503,1000,0.9,3.988950252532959
122,34542,1000,0.91,3.9874320030212402
122,34563,1000,0.92,3.9919681549072266
122,33980,1000,0.93,3.947549819946289
122,34058,1000,0.94,3.969155788421631
122,34684,1000,0.95,3.937152862548828
122,34348,1000,0.96,3.972243547439575
122,34331,1000,0.97,3.9483134746551514
122,34156,1000,0.98,3.94053316116333
122,34143,1000,0.99,3.9083805084228516
122,34457,1000,1.0,3.936934471130371
122,34234,1000,1.01,3.9495790004730225
122,34361,1000,1.02,3.9331259727478027
122,34273,1000,1.03,3.9320926666259766
122,34336,1000,1.04,3.9312875270843506
